pengajuan_id,nasabah_id,platform_id,platform_tipe,tgl_pengajuan,tipe_produk,tujuan,jumlah_diajukan,tenor_bln,lama_platform_bln,platform_ontime_rate,n_pinjaman_sebelumnya,n_lancar,n_macet,avg_telat_hari,listrik_pct_tepat,ew_aktif_bln,ew_trx_per_bln,ew_spike,is_gig,gig_income_avg,gig_konsisten,gig_cancel_rate,punya_rekening,bpjs_rutin,punya_toko_online,omzet_toko_online,skor_ai,kategori_risiko,rekomendasi,prob_default,label_default,faktor_positif,faktor_negatif
L1AJN00273,L1NSB00273,PLT005,P2P Lending,2024-03-30,P2P Lending,Renovasi,3000000,9,36,0.7,1,1,0,2.0,62.5,0,0,0,0,0,0,0.0,0,0,0,0,61,Menengah,Setujui,0.226,0,Aktif di platform 36 bulan (+7) | 1 pinjaman lancar (+5) | Tidak ada riwayat macet (+7),4 tanggungan (-5)
L1AJN00274,L1NSB00274,PLT003,Multifinance,2024-02-27,Multifinance,Motor bekas,3000000,12,15,0.91,0,0,0,0.0,58.3,8,34,0,1,6310000,0,0.05,1,0,0,0,78,Rendah,Setujui,0.128,0,Aktif di platform 15 bulan (+7) | On-time rate 91% (+10) | Transaksi e-wallet 34/bln (+3) | Rating gig 4.8 (+5),
L1AJN00275,L1NSB00275,PLT005,P2P Lending,2024-02-16,P2P Lending,Modal usaha,5000000,3,13,0.73,3,2,1,65.7,91.7,18,63,0,0,0,0,0.0,0,0,0,0,53,Menengah,Setujui,0.273,1,Aktif di platform 13 bulan (+7) | 2 pinjaman lancar (+10) | Listrik 91.7% tepat waktu (+7) | E-wallet aktif 18 bulan (+5),1 pinjaman macet (-12) | Rata-rata telat 66 hari (-10) | 4 tanggungan (-5)
L1AJN00276,L1NSB00276,PLT002,P2P Lending,2024-08-09,P2P Lending,Modal usaha,2000000,6,21,0.91,0,0,0,0.0,79.2,0,0,0,0,0,0,0.0,0,1,0,0,70,Rendah,Setujui,0.174,0,Aktif di platform 21 bulan (+7) | On-time rate 91% (+10) | Listrik 79.2% tepat waktu (+3) | BPJS dibayar rutin (+3),
L1AJN00277,L1NSB00277,PLT001,P2P Lending,2024-01-14,P2P Lending,Pendidikan,1000000,6,11,0.83,4,3,0,7.2,87.5,0,0,0,0,0,0,0.0,1,0,0,0,84,Rendah,Setujui,0.093,1,On-time rate 83% (+5) | 3 pinjaman lancar (+15) | Tidak ada riwayat macet (+7) | Listrik 87.5% tepat waktu (+3),
L1AJN00278,L1NSB00278,PLT004,Multifinance,2024-03-07,Multifinance,Motor bekas,15000000,12,1,0.97,1,1,0,2.0,95.8,0,0,0,0,0,0,0.0,0,0,0,0,77,Rendah,Setujui,0.133,1,On-time rate 97% (+10) | 1 pinjaman lancar (+5) | Tidak ada riwayat macet (+7) | Listrik 95.8% tepat waktu (+7),4 tanggungan (-5)
L1AJN00279,L1NSB00279,PLT001,P2P Lending,2024-06-04,P2P Lending,Konsumsi,2000000,9,23,0.92,0,0,0,0.0,70.8,0,0,0,0,0,0,0.0,1,0,0,0,71,Rendah,Setujui,0.168,1,Aktif di platform 23 bulan (+7) | On-time rate 92% (+10) | Punya rekening bank (+4),
L1AJN00280,L1NSB00280,PLT004,Multifinance,2024-08-01,Multifinance,Elektronik,5000000,12,28,0.97,1,1,0,1.0,66.7,18,43,0,0,0,0,0.0,0,1,0,0,92,Rendah,Setujui,0.046,0,Aktif di platform 28 bulan (+7) | On-time rate 97% (+10) | 1 pinjaman lancar (+5) | Tidak ada riwayat macet (+7),
L1AJN00281,L1NSB00281,PLT001,P2P Lending,2024-04-13,P2P Lending,Modal usaha,500000,6,2,0.82,1,1,0,3.0,83.3,0,0,0,0,0,0,0.0,0,0,0,0,69,Menengah,Setujui,0.18,1,On-time rate 82% (+5) | 1 pinjaman lancar (+5) | Tidak ada riwayat macet (+7) | Listrik 83.3% tepat waktu (+3),4 tanggungan (-5)
L1AJN00282,L1NSB00282,PLT005,P2P Lending,2024-03-29,P2P Lending,Renovasi,500000,1,7,0.68,1,1,0,2.0,66.7,0,0,0,1,6775000,1,0.12,1,1,0,0,76,Rendah,Setujui,0.139,0,1 pinjaman lancar (+5) | Tidak ada riwayat macet (+7) | Income gig konsisten 6 bulan (+8) | Punya rekening bank (+4),Cancel rate gig 12% (-4)
L1AJN00283,L1NSB00283,PLT001,P2P Lending,2024-06-18,P2P Lending,Renovasi,5000000,6,34,0.58,0,0,0,0.0,100.0,22,56,0,0,0,0,0.0,0,0,0,0,71,Rendah,Setujui,0.168,0,Aktif di platform 34 bulan (+7) | Listrik 100.0% tepat waktu (+7) | E-wallet aktif 22 bulan (+5) | Transaksi e-wallet 56/bln (+3),
L1AJN00284,L1NSB00284,PLT003,Multifinance,2024-03-15,Multifinance,Mesin usaha,7000000,24,13,0.92,3,3,0,2.0,87.5,6,36,1,1,5235000,0,0.02,1,1,0,0,94,Rendah,Setujui,0.035,0,Aktif di platform 13 bulan (+7) | On-time rate 92% (+10) | 3 pinjaman lancar (+15) | Tidak ada riwayat macet (+7),Lonjakan top-up sebelum pengajuan (-8) ⚠️
L1AJN00285,L1NSB00285,PLT004,Multifinance,2024-11-03,Multifinance,Motor baru,10000000,12,6,0.68,4,2,0,18.2,87.5,7,61,0,0,0,0,0.0,1,0,0,0,80,Rendah,Setujui,0.116,0,2 pinjaman lancar (+10) | Tidak ada riwayat macet (+7) | Listrik 87.5% tepat waktu (+3) | Transaksi e-wallet 61/bln (+3),
L1AJN00286,L1NSB00286,PLT001,P2P Lending,2024-01-03,P2P Lending,Modal usaha,3000000,1,19,0.82,2,1,0,6.0,58.3,0,0,0,0,0,0,0.0,1,1,0,0,78,Rendah,Setujui,0.128,0,Aktif di platform 19 bulan (+7) | On-time rate 82% (+5) | 1 pinjaman lancar (+5) | Tidak ada riwayat macet (+7),
L1AJN00287,L1NSB00287,PLT004,Multifinance,2024-06-02,Multifinance,Elektronik,15000000,12,3,0.85,2,1,0,24.5,87.5,0,0,0,0,0,0,0.0,1,1,0,0,75,Rendah,Setujui,0.145,0,On-time rate 85% (+5) | 1 pinjaman lancar (+5) | Tidak ada riwayat macet (+7) | Listrik 87.5% tepat waktu (+3),5 tanggungan (-5)
L1AJN00288,L1NSB00288,PLT001,P2P Lending,2024-09-23,P2P Lending,Pendidikan,5000000,1,8,0.88,3,1,0,29.0,79.2,15,77,0,0,0,0,0.0,0,1,0,0,73,Rendah,Setujui,0.157,0,On-time rate 88% (+5) | 1 pinjaman lancar (+5) | Tidak ada riwayat macet (+7) | Listrik 79.2% tepat waktu (+3),4 tanggungan (-5)
L1AJN00289,L1NSB00289,PLT002,P2P Lending,2024-12-25,P2P Lending,Konsumsi,2000000,12,11,0.76,2,2,0,1.5,83.3,17,36,0,1,6556000,1,0.06,1,1,0,0,95,Rendah,Setujui,0.029,0,On-time rate 76% (+5) | 2 pinjaman lancar (+10) | Tidak ada riwayat macet (+7) | Listrik 83.3% tepat waktu (+3),
L1AJN00290,L1NSB00290,PLT002,P2P Lending,2024-03-24,P2P Lending,Modal usaha,500000,3,27,0.64,1,0,0,59.0,75.0,0,0,0,1,2350000,1,0.09,1,1,0,0,75,Rendah,Setujui,0.145,0,Aktif di platform 27 bulan (+7) | Tidak ada riwayat macet (+7) | Listrik 75.0% tepat waktu (+3) | Income gig konsisten 6 bulan (+8),Rata-rata telat 59 hari (-10)
L1AJN00291,L1NSB00291,PLT005,P2P Lending,2024-08-08,P2P Lending,Modal usaha,2000000,12,16,0.64,3,2,1,115.3,83.3,23,49,0,1,3495000,0,0.08,1,0,0,0,57,Menengah,Setujui,0.249,0,Aktif di platform 16 bulan (+7) | 2 pinjaman lancar (+10) | Listrik 83.3% tepat waktu (+3) | E-wallet aktif 23 bulan (+5),1 pinjaman macet (-12) | Rata-rata telat 115 hari (-10)
L1AJN00292,L1NSB00292,PLT005,P2P Lending,2024-07-25,P2P Lending,Pendidikan,5000000,12,11,0.76,1,1,0,0.0,58.3,9,66,0,0,0,0,0.0,0,0,0,0,66,Menengah,Setujui,0.197,0,On-time rate 76% (+5) | 1 pinjaman lancar (+5) | Tidak ada riwayat macet (+7) | Transaksi e-wallet 66/bln (+3),
L1AJN00293,L1NSB00293,PLT004,Multifinance,2024-10-02,Multifinance,Motor bekas,7000000,36,30,0.73,1,1,0,0.0,83.3,10,20,0,0,0,0,0.0,0,0,0,0,67,Menengah,Setujui,0.191,0,Aktif di platform 30 bulan (+7) | 1 pinjaman lancar (+5) | Tidak ada riwayat macet (+7) | Listrik 83.3% tepat waktu (+3),5 tanggungan (-5)
L1AJN00294,L1NSB00294,PLT001,P2P Lending,2024-08-26,P2P Lending,Pendidikan,2000000,1,36,0.61,0,0,0,0.0,79.2,18,31,0,1,2332000,1,0.1,1,1,0,0,84,Rendah,Setujui,0.093,0,Aktif di platform 36 bulan (+7) | Listrik 79.2% tepat waktu (+3) | E-wallet aktif 18 bulan (+5) | Transaksi e-wallet 31/bln (+3),
L1AJN00295,L1NSB00295,PLT003,Multifinance,2024-02-29,Multifinance,Mesin usaha,7000000,18,30,0.63,0,0,0,0.0,79.2,9,74,0,0,0,0,0.0,1,0,0,0,69,Menengah,Setujui,0.18,0,Aktif di platform 30 bulan (+7) | Listrik 79.2% tepat waktu (+3) | Transaksi e-wallet 74/bln (+3) | Punya rekening bank (+4),
L1AJN00296,L1NSB00296,PLT002,P2P Lending,2024-12-27,P2P Lending,Konsumsi,5000000,1,19,0.99,1,0,1,140.0,79.2,7,5,0,1,2410000,1,0.02,0,1,0,0,63,Menengah,Setujui,0.215,0,Aktif di platform 19 bulan (+7) | On-time rate 99% (+10) | Listrik 79.2% tepat waktu (+3) | Income gig konsisten 6 bulan (+8),1 pinjaman macet (-12) | Rata-rata telat 140 hari (-10)
L1AJN00297,L1NSB00297,PLT002,P2P Lending,2024-08-16,P2P Lending,Konsumsi,3000000,12,30,0.64,4,3,0,7.0,62.5,0,0,0,1,7619000,1,0.02,0,0,0,0,91,Rendah,Setujui,0.052,0,Aktif di platform 30 bulan (+7) | 3 pinjaman lancar (+15) | Tidak ada riwayat macet (+7) | Income gig konsisten 6 bulan (+8),4 tanggungan (-5)
L1AJN00298,L1NSB00298,PLT004,Multifinance,2024-10-25,Multifinance,Mesin usaha,15000000,12,32,0.67,2,2,0,2.0,70.8,15,53,0,1,7307000,1,0.08,1,1,0,0,95,Rendah,Setujui,0.029,0,Aktif di platform 32 bulan (+7) | 2 pinjaman lancar (+10) | Tidak ada riwayat macet (+7) | E-wallet aktif 15 bulan (+5),
L1AJN00299,L1NSB00299,PLT002,P2P Lending,2024-03-09,P2P Lending,Konsumsi,2000000,9,25,0.79,4,2,1,77.8,79.2,14,72,0,1,6645000,1,0.07,1,0,0,0,69,Menengah,Setujui,0.18,0,Aktif di platform 25 bulan (+7) | On-time rate 79% (+5) | 2 pinjaman lancar (+10) | Listrik 79.2% tepat waktu (+3),1 pinjaman macet (-12) | Rata-rata telat 78 hari (-10)
L1AJN00300,L1NSB00300,PLT005,P2P Lending,2024-01-18,P2P Lending,Renovasi,5000000,1,36,0.6,0,0,0,0.0,66.7,0,0,0,0,0,0,0.0,1,0,0,0,64,Menengah,Setujui,0.209,0,Aktif di platform 36 bulan (+7) | Punya rekening bank (+4),
L1AJN00301,L1NSB00301,PLT005,P2P Lending,2024-07-22,P2P Lending,Konsumsi,5000000,9,8,0.76,3,2,0,2.3,62.5,18,13,0,1,1738000,0,0.05,1,0,0,0,84,Rendah,Setujui,0.093,0,On-time rate 76% (+5) | 2 pinjaman lancar (+10) | Tidak ada riwayat macet (+7) | E-wallet aktif 18 bulan (+5),
L1AJN00302,L1NSB00302,PLT001,P2P Lending,2024-03-25,P2P Lending,Pendidikan,5000000,12,10,0.95,0,0,0,0.0,95.8,0,0,0,1,3743000,1,0.03,0,0,0,0,74,Rendah,Setujui,0.151,1,On-time rate 95% (+10) | Listrik 95.8% tepat waktu (+7) | Income gig konsisten 6 bulan (+8),
L1AJN00303,L1NSB00303,PLT002,P2P Lending,2024-05-05,P2P Lending,Renovasi,2000000,1,29,0.62,2,2,0,2.5,95.8,10,56,0,0,0,0,0.0,1,1,0,0,87,Rendah,Setujui,0.075,0,Aktif di platform 29 bulan (+7) | 2 pinjaman lancar (+10) | Tidak ada riwayat macet (+7) | Listrik 95.8% tepat waktu (+7),
L1AJN00304,L1NSB00304,PLT005,P2P Lending,2024-02-29,P2P Lending,Pendidikan,3000000,9,4,0.89,3,3,0,2.0,75.0,11,45,0,0,0,0,0.0,1,0,0,0,90,Rendah,Setujui,0.058,1,On-time rate 89% (+5) | 3 pinjaman lancar (+15) | Tidak ada riwayat macet (+7) | Listrik 75.0% tepat waktu (+3),
L1AJN00305,L1NSB00305,PLT003,Multifinance,2024-03-05,Multifinance,Motor bekas,3000000,24,15,0.87,4,2,0,24.8,62.5,19,74,0,0,0,0,0.0,1,0,0,0,92,Rendah,Setujui,0.046,0,Aktif di platform 15 bulan (+7) | On-time rate 87% (+5) | 2 pinjaman lancar (+10) | Tidak ada riwayat macet (+7),
L1AJN00306,L1NSB00306,PLT003,Multifinance,2024-03-03,Multifinance,Mesin usaha,5000000,12,12,0.71,1,0,0,47.0,58.3,0,0,0,0,0,0,0.0,0,0,0,0,54,Menengah,Setujui,0.267,1,Aktif di platform 12 bulan (+7) | Tidak ada riwayat macet (+7),Rata-rata telat 47 hari (-10)
L1AJN00307,L1NSB00307,PLT001,P2P Lending,2024-02-10,P2P Lending,Konsumsi,5000000,9,10,0.88,0,0,0,0.0,87.5,7,54,0,0,0,0,0.0,1,0,0,0,65,Menengah,Setujui,0.203,0,On-time rate 88% (+5) | Listrik 87.5% tepat waktu (+3) | Transaksi e-wallet 54/bln (+3) | Punya rekening bank (+4),
L1AJN00308,L1NSB00308,PLT005,P2P Lending,2024-09-23,P2P Lending,Renovasi,500000,12,15,0.91,0,0,0,0.0,83.3,18,35,0,0,0,0,0.0,1,1,0,0,86,Rendah,Setujui,0.081,0,Aktif di platform 15 bulan (+7) | On-time rate 91% (+10) | Listrik 83.3% tepat waktu (+3) | E-wallet aktif 18 bulan (+5),
L1AJN00309,L1NSB00309,PLT002,P2P Lending,2024-08-01,P2P Lending,Renovasi,3000000,1,24,0.71,1,1,0,2.0,87.5,11,45,0,0,0,0,0.0,1,1,0,0,81,Rendah,Setujui,0.11,0,Aktif di platform 24 bulan (+7) | 1 pinjaman lancar (+5) | Tidak ada riwayat macet (+7) | Listrik 87.5% tepat waktu (+3),4 tanggungan (-5)
L1AJN00310,L1NSB00310,PLT001,P2P Lending,2024-06-13,P2P Lending,Modal usaha,1000000,12,16,0.87,1,1,0,0.0,62.5,21,79,1,1,2696000,1,0.05,1,1,0,0,92,Rendah,Setujui,0.046,0,Aktif di platform 16 bulan (+7) | On-time rate 87% (+5) | 1 pinjaman lancar (+5) | Tidak ada riwayat macet (+7),Lonjakan top-up sebelum pengajuan (-8) ⚠️
L1AJN00311,L1NSB00311,PLT003,Multifinance,2024-12-08,Multifinance,Mesin usaha,10000000,18,24,0.71,3,2,1,38.7,91.7,19,23,0,1,5031000,0,0.06,1,0,0,0,68,Menengah,Setujui,0.186,1,Aktif di platform 24 bulan (+7) | 2 pinjaman lancar (+10) | Listrik 91.7% tepat waktu (+7) | E-wallet aktif 19 bulan (+5),1 pinjaman macet (-12) | Rata-rata telat 39 hari (-10)
L1AJN00312,L1NSB00312,PLT005,P2P Lending,2024-02-14,P2P Lending,Konsumsi,2000000,12,14,0.76,0,0,0,0.0,66.7,13,9,0,1,2860000,1,0.1,0,1,0,0,81,Rendah,Setujui,0.11,0,Aktif di platform 14 bulan (+7) | On-time rate 76% (+5) | E-wallet aktif 13 bulan (+5) | Income gig konsisten 6 bulan (+8),4 tanggungan (-5)
L1AJN00313,L1NSB00313,PLT002,P2P Lending,2024-11-16,P2P Lending,Renovasi,3000000,1,6,0.62,2,2,0,1.0,100.0,0,0,0,1,7366000,1,0.02,0,1,0,0,82,Rendah,Setujui,0.104,0,2 pinjaman lancar (+10) | Tidak ada riwayat macet (+7) | Listrik 100.0% tepat waktu (+7) | Income gig konsisten 6 bulan (+8),
L1AJN00314,L1NSB00314,PLT003,Multifinance,2024-12-15,Multifinance,Motor bekas,7000000,12,1,0.87,1,0,0,41.0,58.3,6,65,0,1,0,0,0.0,1,1,0,0,58,Menengah,Setujui,0.244,1,On-time rate 87% (+5) | Tidak ada riwayat macet (+7) | Transaksi e-wallet 65/bln (+3) | Punya rekening bank (+4),Rata-rata telat 41 hari (-10) | 5 tanggungan (-5)
L1AJN00315,L1NSB00315,PLT003,Multifinance,2024-08-30,Multifinance,Motor bekas,7000000,36,6,0.71,2,2,0,2.5,95.8,21,60,0,0,0,0,0.0,0,0,0,0,78,Rendah,Setujui,0.128,1,2 pinjaman lancar (+10) | Tidak ada riwayat macet (+7) | Listrik 95.8% tepat waktu (+7) | E-wallet aktif 21 bulan (+5),
L1AJN00316,L1NSB00316,PLT002,P2P Lending,2024-04-28,P2P Lending,Pendidikan,2000000,9,10,0.55,1,0,0,50.0,75.0,8,9,0,0,0,0,0.0,1,1,0,0,50,Menengah,Setujui,0.29,1,Tidak ada riwayat macet (+7) | Listrik 75.0% tepat waktu (+3) | Punya rekening bank (+4) | BPJS dibayar rutin (+3),Rata-rata telat 50 hari (-10) | 5 tanggungan (-5)
L1AJN00317,L1NSB00317,PLT005,P2P Lending,2024-06-07,P2P Lending,Konsumsi,2000000,12,3,0.96,1,0,1,295.0,100.0,20,22,1,0,0,0,0.0,1,0,0,0,46,Tinggi,Tolak,0.313,1,On-time rate 96% (+10) | Listrik 100.0% tepat waktu (+7) | E-wallet aktif 20 bulan (+5) | Transaksi e-wallet 22/bln (+3),1 pinjaman macet (-12) | Rata-rata telat 295 hari (-10) | Lonjakan top-up sebelum pengajuan (-8) ⚠️
L1AJN00318,L1NSB00318,PLT003,Multifinance,2024-04-19,Multifinance,Mesin usaha,7000000,12,11,0.6,1,0,0,28.0,70.8,14,23,0,0,0,0,0.0,0,0,0,0,65,Menengah,Setujui,0.203,0,Tidak ada riwayat macet (+7) | E-wallet aktif 14 bulan (+5) | Transaksi e-wallet 23/bln (+3),
L1AJN00319,L1NSB00319,PLT005,P2P Lending,2024-03-18,P2P Lending,Pendidikan,2000000,12,5,0.76,1,1,0,1.0,83.3,0,0,0,0,0,0,0.0,1,1,0,0,79,Rendah,Setujui,0.122,0,On-time rate 76% (+5) | 1 pinjaman lancar (+5) | Tidak ada riwayat macet (+7) | Listrik 83.3% tepat waktu (+3),
L1AJN00320,L1NSB00320,PLT001,P2P Lending,2024-12-19,P2P Lending,Modal usaha,2000000,1,13,0.55,1,0,1,190.0,75.0,15,6,1,0,0,0,0.0,1,1,0,0,41,Tinggi,Tolak,0.342,0,Aktif di platform 13 bulan (+7) | Listrik 75.0% tepat waktu (+3) | E-wallet aktif 15 bulan (+5) | Punya rekening bank (+4),1 pinjaman macet (-12) | Rata-rata telat 190 hari (-10) | Lonjakan top-up sebelum pengajuan (-8) ⚠️
L1AJN00321,L1NSB00321,PLT003,Multifinance,2024-05-26,Multifinance,Elektronik,7000000,36,21,0.59,0,0,0,0.0,100.0,0,0,0,0,0,0,0.0,1,0,1,18000000,75,Rendah,Setujui,0.145,0,Aktif di platform 21 bulan (+7) | Listrik 100.0% tepat waktu (+7) | Punya rekening bank (+4) | Toko online omzet Rp 18 jt (+5),
L1AJN00322,L1NSB00322,PLT003,Multifinance,2024-03-19,Multifinance,Elektronik,15000000,12,23,0.69,3,3,0,0.7,66.7,19,43,0,0,0,0,0.0,0,0,0,0,85,Rendah,Setujui,0.087,0,Aktif di platform 23 bulan (+7) | 3 pinjaman lancar (+15) | Tidak ada riwayat macet (+7) | E-wallet aktif 19 bulan (+5),
L1AJN00323,L1NSB00323,PLT005,P2P Lending,2024-11-21,P2P Lending,Pendidikan,5000000,3,5,0.61,1,1,0,1.0,70.8,6,57,0,0,0,0,0.0,1,1,0,0,71,Rendah,Setujui,0.168,0,1 pinjaman lancar (+5) | Tidak ada riwayat macet (+7) | Transaksi e-wallet 57/bln (+3) | Punya rekening bank (+4),4 tanggungan (-5)
L1AJN00324,L1NSB00324,PLT001,P2P Lending,2024-11-29,P2P Lending,Konsumsi,1000000,3,10,0.67,1,1,0,3.0,91.7,0,0,0,1,7997000,1,0.06,1,0,0,0,83,Rendah,Setujui,0.099,0,1 pinjaman lancar (+5) | Tidak ada riwayat macet (+7) | Listrik 91.7% tepat waktu (+7) | Income gig konsisten 6 bulan (+8),
L1AJN00325,L1NSB00325,PLT002,P2P Lending,2024-06-18,P2P Lending,Konsumsi,5000000,12,33,0.57,3,2,0,5.3,58.3,0,0,0,0,0,0,0.0,1,1,0,0,82,Rendah,Setujui,0.104,0,Aktif di platform 33 bulan (+7) | 2 pinjaman lancar (+10) | Tidak ada riwayat macet (+7) | Punya rekening bank (+4),
L1AJN00326,L1NSB00326,PLT004,Multifinance,2024-05-21,Multifinance,Motor baru,20000000,24,32,0.65,1,1,0,0.0,79.2,9,16,0,0,0,0,0.0,0,1,1,15000000,72,Rendah,Setujui,0.162,0,Aktif di platform 32 bulan (+7) | 1 pinjaman lancar (+5) | Tidak ada riwayat macet (+7) | Listrik 79.2% tepat waktu (+3),4 tanggungan (-5)
L1AJN00327,L1NSB00327,PLT004,Multifinance,2024-05-19,Multifinance,Mesin usaha,20000000,12,21,0.79,2,2,0,1.5,75.0,20,40,0,0,0,0,0.0,1,1,0,0,95,Rendah,Setujui,0.029,0,Aktif di platform 21 bulan (+7) | On-time rate 79% (+5) | 2 pinjaman lancar (+10) | Tidak ada riwayat macet (+7),
L1AJN00328,L1NSB00328,PLT002,P2P Lending,2024-05-25,P2P Lending,Modal usaha,500000,1,5,0.88,2,2,0,1.5,79.2,8,44,0,0,0,0,0.0,1,1,0,0,82,Rendah,Setujui,0.104,0,On-time rate 88% (+5) | 2 pinjaman lancar (+10) | Tidak ada riwayat macet (+7) | Listrik 79.2% tepat waktu (+3),4 tanggungan (-5)
L1AJN00329,L1NSB00329,PLT004,Multifinance,2024-12-05,Multifinance,Motor baru,10000000,12,9,0.63,0,0,0,0.0,79.2,0,0,0,0,0,0,0.0,1,0,0,0,55,Menengah,Setujui,0.261,1,Listrik 79.2% tepat waktu (+3) | Punya rekening bank (+4),
L1AJN00330,L1NSB00330,PLT001,P2P Lending,2024-03-15,P2P Lending,Modal usaha,500000,1,22,0.81,1,1,0,2.0,75.0,20,80,0,1,4214000,1,0.03,1,0,0,0,95,Rendah,Setujui,0.029,0,Aktif di platform 22 bulan (+7) | On-time rate 81% (+5) | 1 pinjaman lancar (+5) | Tidak ada riwayat macet (+7),
L1AJN00331,L1NSB00331,PLT002,P2P Lending,2024-07-19,P2P Lending,Modal usaha,5000000,3,10,0.96,4,3,0,8.8,66.7,17,72,0,1,7697000,1,0.1,0,1,0,0,95,Rendah,Setujui,0.029,0,On-time rate 96% (+10) | 3 pinjaman lancar (+15) | Tidak ada riwayat macet (+7) | E-wallet aktif 17 bulan (+5),4 tanggungan (-5)
L1AJN00332,L1NSB00332,PLT002,P2P Lending,2024-12-01,P2P Lending,Modal usaha,2000000,1,31,0.99,0,0,0,0.0,100.0,12,39,0,0,0,0,0.0,1,1,0,0,88,Rendah,Setujui,0.07,0,Aktif di platform 31 bulan (+7) | On-time rate 99% (+10) | Listrik 100.0% tepat waktu (+7) | E-wallet aktif 12 bulan (+5),
L1AJN00333,L1NSB00333,PLT003,Multifinance,2024-01-20,Multifinance,Motor baru,20000000,36,30,0.94,3,2,1,65.3,62.5,0,0,0,1,5561000,1,0.02,0,0,0,0,71,Rendah,Setujui,0.168,0,Aktif di platform 30 bulan (+7) | On-time rate 94% (+10) | 2 pinjaman lancar (+10) | Income gig konsisten 6 bulan (+8),1 pinjaman macet (-12) | Rata-rata telat 65 hari (-10)
L1AJN00334,L1NSB00334,PLT005,P2P Lending,2024-06-17,P2P Lending,Konsumsi,2000000,12,3,0.62,0,0,0,0.0,70.8,10,64,0,1,4727000,1,0.13,1,1,0,0,57,Menengah,Setujui,0.249,1,Transaksi e-wallet 64/bln (+3) | Income gig konsisten 6 bulan (+8) | Punya rekening bank (+4) | BPJS dibayar rutin (+3),4 tanggungan (-5) | Cancel rate gig 13% (-4)
L1AJN00335,L1NSB00335,PLT004,Multifinance,2024-11-21,Multifinance,Motor bekas,10000000,12,3,0.76,4,4,0,1.0,87.5,17,76,0,1,5973000,1,0.15,1,1,0,0,95,Rendah,Setujui,0.029,0,On-time rate 76% (+5) | 4 pinjaman lancar (+15) | Tidak ada riwayat macet (+7) | Listrik 87.5% tepat waktu (+3),Cancel rate gig 15% (-4)
L1AJN00336,L1NSB00336,PLT003,Multifinance,2024-05-08,Multifinance,Elektronik,15000000,36,6,0.69,0,0,0,0.0,100.0,21,80,0,0,0,0,0.0,1,1,0,0,65,Menengah,Setujui,0.203,0,Listrik 100.0% tepat waktu (+7) | E-wallet aktif 21 bulan (+5) | Transaksi e-wallet 80/bln (+3) | Punya rekening bank (+4),4 tanggungan (-5)
L1AJN00337,L1NSB00337,PLT005,P2P Lending,2024-07-05,P2P Lending,Renovasi,3000000,1,14,0.56,1,1,0,1.0,79.2,9,10,0,1,7593000,0,0.1,0,1,0,0,84,Rendah,Setujui,0.093,0,Aktif di platform 14 bulan (+7) | 1 pinjaman lancar (+5) | Tidak ada riwayat macet (+7) | Listrik 79.2% tepat waktu (+3),
L1AJN00338,L1NSB00338,PLT003,Multifinance,2024-07-09,Multifinance,Elektronik,15000000,24,14,0.87,3,3,0,0.7,95.8,14,36,0,0,0,0,0.0,1,1,1,19000000,95,Rendah,Setujui,0.029,0,Aktif di platform 14 bulan (+7) | On-time rate 87% (+5) | 3 pinjaman lancar (+15) | Tidak ada riwayat macet (+7),
L1AJN00339,L1NSB00339,PLT005,P2P Lending,2024-07-27,P2P Lending,Modal usaha,500000,3,9,0.69,2,1,0,5.5,70.8,24,59,0,0,0,0,0.0,1,1,0,0,75,Rendah,Setujui,0.145,1,1 pinjaman lancar (+5) | Tidak ada riwayat macet (+7) | E-wallet aktif 24 bulan (+5) | Transaksi e-wallet 59/bln (+3),
L1AJN00340,L1NSB00340,PLT005,P2P Lending,2024-02-23,P2P Lending,Modal usaha,2000000,6,36,0.72,0,0,0,0.0,70.8,12,44,0,0,0,0,0.0,0,1,0,0,59,Menengah,Setujui,0.238,0,Aktif di platform 36 bulan (+7) | E-wallet aktif 12 bulan (+5) | Transaksi e-wallet 44/bln (+3) | BPJS dibayar rutin (+3),4 tanggungan (-5)
L1AJN00341,L1NSB00341,PLT004,Multifinance,2024-10-04,Multifinance,Motor bekas,15000000,24,5,0.56,1,1,0,0.0,91.7,12,45,0,0,0,0,0.0,1,0,0,0,77,Rendah,Setujui,0.133,0,1 pinjaman lancar (+5) | Tidak ada riwayat macet (+7) | Listrik 91.7% tepat waktu (+7) | E-wallet aktif 12 bulan (+5),
L1AJN00342,L1NSB00342,PLT005,P2P Lending,2024-05-22,P2P Lending,Modal usaha,2000000,9,12,0.86,3,3,0,1.7,91.7,12,57,0,0,0,0,0.0,0,0,0,0,95,Rendah,Setujui,0.029,0,Aktif di platform 12 bulan (+7) | On-time rate 86% (+5) | 3 pinjaman lancar (+15) | Tidak ada riwayat macet (+7),
L1AJN00343,L1NSB00343,PLT005,P2P Lending,2024-07-17,P2P Lending,Pendidikan,2000000,1,11,0.66,2,2,0,2.0,87.5,18,45,0,1,6996000,1,0.05,1,0,0,0,87,Rendah,Setujui,0.075,0,2 pinjaman lancar (+10) | Tidak ada riwayat macet (+7) | Listrik 87.5% tepat waktu (+3) | E-wallet aktif 18 bulan (+5),
